ELEITO,SQ_CANDIDATO,CD_CARGO,NR_IDADE_DATA_POSSE,CD_GENERO,CD_GRAU_INSTRUCAO,CD_ESTADO_CIVIL,CD_COR_RACA,CD_OCUPACAO,CD_REELEICAO,VR_BEM_CANDIDATO,QT_VOTOS_NOMINAIS
0,20001620169,7,450,2,6,3,3,999,0,1180000,224
1,40001618658,7,480,4,8,9,1,277,1,99825535,48533
1,50001606436,7,540,2,7,3,1,277,1,12134400,66940
1,240001611144,6,450,2,8,3,1,277,1,311737623,74066
0,230001600138,7,510,2,5,9,3,257,0,110000,60
0,130001607716,7,390,2,7,3,3,171,0,30000,11322
0,250001613819,6,480,4,6,1,3,999,0,810000,340
0,50001614016,6,540,4,6,3,3,257,0,43620000,364
0,180001601321,7,430,2,8,3,3,171,0,10700000,4378
0,190001600470,6,480,2,8,9,1,143,0,14769315,933
0,170001618946,7,320,4,8,1,2,931,0,436780,701
0,160001603302,6,610,4,6,3,2,257,0,5020000,1105
0,20001612338,7,460,4,7,1,2,601,0,500000,988
0,240001610063,7,510,2,8,1,1,297,0,150000,192
0,230001693303,6,470,2,8,9,2,233,0,192000,161
0,160001603343,7,600,2,8,3,1,403,0,9850000,9053
0,180001610947,7,460,2,8,3,3,131,0,131541217,1110
1,270001643532,7,400,4,8,3,3,277,1,116965518,17995
0,190001612196,7,580,2,8,3,1,295,0,9600000,1277
0,210001596187,7,330,2,8,1,1,131,0,13167052,11730
0,240001610061,7,480,2,8,1,2,931,0,1600000,111
0,130001645085,7,420,2,6,3,3,257,0,2500000,700
0,120001621509,6,620,2,8,3,1,131,0,4960490,1049
0,200001666997,7,370,2,8,1,1,169,0,838069,39
0,170001608961,7,460,2,8,3,2,278,0,2300000,6420
0,240001604516,6,440,2,8,1,1,257,0,3042025,27017
0,50001606397,7,650,2,8,9,2,266,1,52005214,32019
0,170001613440,7,480,4,8,3,1,394,0,2043061,2013
0,200001603380,6,590,4,8,3,3,113,0,9191483,2260
0,220001600361,7,440,2,8,9,3,297,0,120000,579
0,250001721336,7,490,2,8,1,1,999,0,16531976,939
0,110001724783,7,520,2,8,3,2,131,0,4670000,156
0,250001643831,7,700,4,8,9,1,125,0,2065727,171
0,270001613200,6,490,2,6,1,2,604,0,2500000,129
0,40001643450,7,530,2,8,3,3,999,0,1130000,185
1,160001623126,7,560,2,8,3,1,101,1,109243741,126006
0,170001609639,6,390,2,8,3,1,111,0,80934447,313
0,80001604490,7,490,4,8,1,3,101,0,650000,323
0,260001713930,6,560,2,8,9,1,265,0,3200278,532
1,170001619710,7,410,2,8,3,3,278,0,8233900,46461
0,130001613310,7,580,2,6,1,3,278,0,3843429,6341
0,90001651119,7,450,4,6,9,3,233,0,2000000,258
0,250001610139,7,490,4,3,1,3,581,0,3414,1183
0,250001613949,6,520,2,3,3,1,999,0,305850,1128
0,50001610386,7,700,2,4,5,1,923,0,3000000,150
0,130001607377,7,460,4,8,1,3,298,0,710990,3001
0,170001608985,7,500,2,8,3,1,142,0,6127157,4503
0,160001723223,7,550,2,8,3,3,537,0,50000,284
0,70001596082,8,480,2,8,3,1,297,0,8070000,2684
0,90001651354,6,320,2,7,3,1,277,0,77040657,51597
0,250001604946,6,670,2,8,3,1,257,0,101051786,3793
0,250001604986,6,410,2,8,3,1,111,0,10182160,1217
0,130001613352,6,400,2,7,3,1,237,0,2947372,10713
0,190001605592,6,470,2,8,1,1,295,0,3013590,10713
0,10001643856,7,460,2,8,3,3,124,0,170000,565
0,170001609298,7,560,2,8,3,3,999,0,130347,565
0,70001649948,8,340,2,8,3,1,257,0,14200000,1096
0,190001603396,6,480,2,8,1,3,277,1,1780000,32073
0,200001608776,7,500,2,3,1,2,531,0,980000,321
0,50001728528,7,420,2,3,1,1,169,0,170570,321
0,190001609665,6,520,4,8,3,3,257,0,124272149,410
0,50001600792,6,370,2,6,3,3,257,0,1544681,167
0,170001723368,7,520,2,6,3,3,537,0,930000,253
0,70001650797,8,520,2,8,3,2,257,0,2200000,593
0,90001605415,7,510,2,8,3,3,922,0,73060659,9273
0,70001636640,6,510,4,8,9,1,131,0,42068612,611
0,250001611274,6,510,2,8,3,1,257,0,96129199,75082
0,220001635673,7,500,2,6,3,1,257,0,7035000,249897
1,180001602553,6,740,2,8,3,1,277,1,218317683,249897
0,50001610378,7,390,2,7,1,2,257,0,4389000,249897
0,250001610183,7,520,2,8,3,1,142,0,20900000,249897
0,140001601816,7,340,2,6,3,3,257,0,6538500,249897
0,130001619021,7,390,4,8,1,1,169,0,35000,12360
0,140001651734,6,480,2,8,9,1,168,0,7700000,8373
0,160001716219,6,600,2,6,9,1,257,0,200000,8373
0,220001596861,6,570,2,5,3,1,601,0,65452871,13406
0,130001605796,7,410,2,6,1,3,257,0,1490000,994
0,210001620035,6,390,2,8,1,1,257,0,14888414,3139
1,180001604045,7,620,2,8,3,3,101,1,341544418,50421
0,190001601362,7,740,2,6,3,3,999,0,1040000,13814
0,90001651350,6,330,2,8,3,1,103,0,3153583,13814
0,100001718927,6,570,2,8,3,2,999,0,4000000,13814
0,190001636606,7,370,2,6,9,1,233,0,12638754,343
0,240001610050,7,370,2,8,3,1,292,0,11758738,273
0,250001597771,7,490,4,8,3,1,297,0,19050000,3450
0,210001597002,6,470,2,4,1,1,257,0,15000000,5463
0,130001603706,7,370,4,8,1,1,131,0,81585773,28452
0,90001648115,6,410,4,8,3,3,131,0,2200000,2044
1,190001596802,6,450,2,8,1,1,277,1,213169524,69088
0,250001604994,7,460,4,8,9,1,296,0,5977200,652
0,230001602247,7,430,2,8,9,3,297,0,1650000,494
0,70001650222,8,490,2,8,1,1,921,0,3300000,52025
0,130001598593,7,430,2,8,3,2,101,0,28500000,52025
0,250001643804,7,490,2,8,3,1,163,0,1995870,52025
0,260001646670,7,420,4,6,9,1,999,0,2000000,243
0,50001609430,7,530,2,8,3,3,293,0,1954000,1720
0,70001735616,6,440,4,8,9,4,124,0,1300000,153
0,100001608125,7,500,2,8,3,1,257,0,297912329,12351
0,230001604251,7,400,4,8,3,3,125,0,100000,178
0,210001601914,7,690,2,6,3,1,403,0,96321953,4657
0,250001597701,6,400,2,8,9,3,257,0,19200079,2368
0,220001609487,7,710,2,5,5,1,257,0,470000,52
0,50001614668,7,540,4,6,1,3,999,0,32,38
