CD_CARGO,SQ_CANDIDATO,NR_IDADE_DATA_POSSE_x,CD_GENERO,CD_GRAU_INSTRUCAO,CD_ESTADO_CIVIL,CD_COR_RACA,CD_OCUPACAO,ST_REELEICAO_x,VR_BEM_CANDIDATO_x,QT_VOTOS_NOMINAIS_x,DS_SIT_TOT_TURNO
7,10001643431,59.0,2,8,5,1,266,0,19946.0,679,0
7,110001620554,36.0,2,8,1,3,278,0,348883.74,4620,0
7,190001601354,43.0,2,8,3,3,131,0,139000.0,8654,0
6,10001642337,60.0,2,8,9,3,257,0,40000.0,353,0
7,170001619685,60.0,2,8,3,1,277,1,2461864.82,146847,1
7,160001622707,51.0,2,8,3,1,143,0,360000.0,116,0
6,40001618394,54.0,4,8,3,1,131,0,330000.0,911,0
6,10001621643,56.0,4,8,3,1,266,0,400000.0,25842,1
6,50001600769,66.0,2,7,1,1,292,0,144185.95,457,0
6,80001722145,51.0,2,6,1,1,169,0,15000.0,302,0
7,80001604483,81.0,4,8,1,3,131,0,1074293.51,3478,0
7,190001609563,45.0,2,6,3,1,278,0,619443.97,29644,0
6,270001672964,30.0,2,8,1,3,257,0,242000.0,2261,0
6,160001716182,43.0,2,7,3,1,156,0,15000.0,191,0
7,130001669337,67.0,2,8,3,3,101,0,355000.0,224,0
6,250001604979,61.0,2,8,3,1,121,0,1668306.48,35440,0
6,250001597693,31.0,2,8,1,1,257,0,640000.0,1526,0
7,90001653980,39.0,2,6,3,1,197,0,126000.0,126,0
7,210001647190,40.0,4,6,3,2,397,0,57950.0,185,0
6,130001607603,73.0,2,4,3,3,999,0,50000.0,165,0
7,200001604204,29.0,4,8,1,2,931,0,90000.0,897,0
6,250001612113,69.0,2,8,3,1,111,0,2552087.98,5976,0
7,120001652317,60.0,2,8,3,1,277,1,1715322.36,27969,1
7,230001611089,58.0,4,8,1,3,257,0,184000.0,892,0
7,130001603701,65.0,4,7,1,1,923,0,194300.0,468,0
6,60001723390,39.0,2,8,3,3,131,0,209000.0,1495,0
6,160001716360,62.0,2,7,9,1,257,0,995000.0,126,0
6,140001611647,40.0,2,8,3,3,257,0,263000.0,3110,0
6,130001596021,29.0,2,8,1,4,258,0,930194.01,89404,1
7,50001609450,49.0,2,7,1,2,233,0,18000.0,11813,0
7,250001610196,35.0,2,8,1,3,233,0,254532.51,46386,0
7,240001610834,42.0,2,6,3,2,257,0,450000.0,446,0
6,130001610984,48.0,4,8,1,3,298,0,9050000.0,521,0
7,210001596146,41.0,4,8,1,1,125,0,101684.45,866,0
7,190001615295,45.0,2,8,1,1,131,0,110000.0,801,0
7,240001616179,42.0,2,8,3,1,999,0,380458.59,1458,0
7,120001652321,60.0,4,8,5,2,142,0,749500.0,3489,0
7,160001723071,66.0,2,6,3,3,999,0,33685.26,549,0
7,240001679665,36.0,2,8,3,1,132,0,176385.0,7495,0
8,70001654540,52.0,2,8,3,3,111,0,360000.0,2768,0
7,110001623198,50.0,2,8,3,3,257,0,1110000.0,2978,0
6,130001634150,40.0,2,8,3,1,131,0,7642358.48,18760,0
6,90001615704,55.0,2,6,3,3,999,0,505000.0,3618,0
7,30001615060,50.0,4,8,3,3,277,1,141440.0,5222,1
7,30001643379,49.0,4,7,1,3,125,0,180000.0,466,0
7,130001634244,30.0,2,8,1,3,999,0,50000.0,620,0
6,250001611869,41.0,2,8,3,3,999,0,3767.3,4187,0
7,250001619338,67.0,4,8,3,2,922,0,250000.0,1424,0
5,20001653095,35.0,2,7,3,1,257,0,1030242.16,627397,0
7,160001654957,29.0,4,8,9,1,999,0,0.0,941,0
7,190001596764,66.0,4,8,9,1,581,0,180000.0,294,0
6,150001737751,60.0,2,4,9,1,234,0,2600000.0,43,0
7,240001644420,56.0,2,8,3,1,265,0,111466.64,2584,0
6,70001615673,41.0,4,8,9,1,296,0,120990.69,2720,0
6,200001598462,55.0,2,8,9,3,113,0,261000.0,2795,0
7,210001647974,44.0,2,8,3,1,601,0,932846.27,19974,0
6,210001601863,61.0,2,8,3,1,131,0,505000.0,4690,0
6,210001596127,56.0,4,7,3,1,278,0,803339.23,4146,0
6,250001643898,61.0,2,8,9,1,277,1,1821753.85,54849,0
6,210001648577,40.0,2,8,9,1,296,0,275000.0,10346,0
6,60001603469,54.0,2,8,1,1,277,1,866885.83,187433,1
7,230001602821,59.0,4,5,3,1,999,0,337916.0,75,0
7,10001670864,43.0,2,2,1,1,999,0,188000.0,2711,0
7,40001612902,63.0,4,4,1,3,257,0,1500.0,67,0
7,190001609564,51.0,2,8,3,3,298,0,43500.0,1682,0
6,250001651397,46.0,2,3,3,3,512,0,163000.0,830,0
7,190001609542,59.0,2,6,7,3,257,0,48931.740000000005,3459,0
7,170001618407,47.0,2,8,3,1,263,0,283332.82,4684,0
6,260001633058,39.0,4,8,7,3,131,0,95421.0,1903,0
6,250001717138,67.0,2,8,3,1,131,0,1819848.24,568,0
7,10001649310,60.0,2,8,1,1,257,0,185760.0,5731,1
7,250001610003,66.0,2,8,3,6,125,0,1636490.5200000005,21163,0
6,250001611372,42.0,4,8,3,1,265,0,24000.0,1914,0
7,210001596160,41.0,2,2,1,1,537,0,94291.95,971,0
6,210001596997,55.0,4,8,9,1,999,0,3030000.0,11329,0
7,90001648402,61.0,2,8,3,1,125,1,3578817.37,31903,0
7,40001612915,49.0,4,6,1,3,206,0,2700.0,68,0
7,120001646509,55.0,2,5,1,3,923,0,320000.0,153,0
7,190001639048,48.0,2,8,3,3,233,0,20000.0,451,0
6,250001622096,37.0,2,8,3,1,113,0,214000.0,1296,0
7,210001596189,43.0,4,8,3,3,405,0,95000.0,3159,0
7,260001602594,55.0,2,8,3,1,296,0,1053660.97,722,0
7,50001696409,38.0,2,6,3,3,999,0,40000.0,999,0
7,210001602907,35.0,2,7,3,1,278,0,109493.38,3307,0
6,270001613198,67.0,2,6,1,3,999,0,320000.0,61,0
6,210001604645,60.0,2,8,3,1,277,1,553400.81,131881,1
7,130001611596,24.0,4,8,1,1,124,0,40000.0,42415,1
6,190001601695,59.0,2,8,3,3,169,0,251996.0,431,0
7,200001608789,49.0,4,5,9,3,999,0,19000.0,6,0
7,250001699816,48.0,2,8,1,1,999,0,107901.0,96,0
6,190001644966,70.0,2,7,3,3,169,0,130000.0,1124,0
7,120001643178,58.0,4,8,3,1,101,0,8096000.0,1554,0
7,160001723063,45.0,2,8,1,1,999,0,102500.0,328,0
6,240001602689,53.0,2,8,3,1,125,0,1117000.0,8878,0
7,170001610950,34.0,2,8,3,1,999,0,134800.0,55,0
7,50001696434,56.0,2,8,3,3,232,0,20000.0,327,0
